"Start Date	",Subject,Location,Description
2019/4/13,平成３１年度 仙台市春季卓球リーグ戦（女子の部）,宮城野体育館（障害者アリーナ共）,主催協会：仙台市
2019/4/21,平成３１年度 仙台市春季卓球リーグ戦（男子の部）,宮城野体育館（障害者アリーナ共）,主催協会：仙台市
2019/4/29,第９回杜の都オープンラージボール卓球大会,仙台市体育館（第１競技場）,主催協会：仙台市
2019/5/3,第４９回 仙台市中学校対抗卓球大会,仙台市体育館（第１競技場）,主催協会：仙台市
2019/5/26,第５６回 仙台市民 総合体育大会 卓球大会,仙台市体育館（第１競技場）,主催協会：仙台市
2019/6/23,第１９回 仙台市卓球選手権大会(ダブルス戦),仙台市体育館（第１競技場）,主催協会：仙台市
2019/7/28,第１９回 仙台市ラージボール卓球大会,仙台市体育館（第１競技場）,主催協会：仙台市
2019/8/10,第２９回 仙台市卓球協会長杯卓球大会（中学）,宮城野体育館（第１競技場）,主催協会：仙台市
2019/8/11,第２９回 仙台市卓球協会長杯卓球大会（一般）,宮城野体育館（第１競技場）,主催協会：仙台市
2019/10/5,第１３回 杜の都 レディース 卓球大会,宮城野体育館（第１競技場）,主催協会：仙台市
※調整中,仙台市民総合体育大会卓球大会 兼 第１９回 仙台市区対抗卓球大会,※調整中,主催協会：仙台市
2019/12/14,平成３１年度 仙台市秋季卓球リーグ戦（女子の部）,若林体育館,主催協会：仙台市
2019/12/15,平成３１年度 仙台市秋季卓球リーグ戦（男子の部）,若林体育館,主催協会：仙台市
2020/1/18,第２６回 仙台市ラージボール卓球大会（個人、ダブルス戦）,若林体育館,主催協会：仙台市
2020/2/11,第８３回 仙台市個人卓球選手権大会（個人戦）,仙台市体育館,主催協会：仙台市
※調整中,第４９回 仙台市 中学生 新人卓球大会,※調整中,主催協会：仙台市
2020/3/21,第２７回 バタフライ．ダブルスチームカップ,若林体育館,主催協会：仙台市
