Start Date,Subject,Location,Description
2021/4/10,令和3年度仙台市春季卓球リーグ戦（女子の部）,カメイアリーナ仙台,主催協会：仙台市
2021/4/11,令和3年度仙台市春季卓球リーグ戦（男子の部）,カメイアリーナ仙台,主催協会：仙台市
2021/4/25,第42回　泉卓球まつり,泉体育館,主催協会：泉区
2021/4/29,第10回杜の都オープンラージボール卓球大会,カメイアリーナ仙台,主催協会：仙台市
2021/5/1,第50回仙台市中学校対抗卓球大会（団体）,カメイアリーナ仙台,主催協会：仙台市
2021/5/8,第17回若林オープン卓球大会,若林体育館,主催協会：若林区
2021/5/16,第24回太白区親善卓球大会,秋保体育館,主催協会：太白区
2021/5/29,第41回泉クラブ（団体）対抗卓球大会,泉体育館,主催協会：泉区
2021/5/29,第21回仙台市ラージボール卓球大会,宮城野体育館,主催協会：仙台市
2021/5/30,第57回仙台市民総合体育大会卓球大会,若林体育館,主催協会：仙台市
2021/6/12,第19回若卓ラージボール卓球大会,出花体育館,主催協会：若林区
2021/6/19,第20回仙台市卓球選手権大会（個人複）,カメイアリーナ仙台,主催協会：仙台市
2021/7/4,第19回太白区ラージボール卓球大会,秋保体育館,主催協会：太白区
2021/7/8,第21回泉レデイース七夕卓球大会,泉体育館,主催協会：泉区
2021/7/11,第30回泉オープンラージボール卓球大会,泉体育館,主催協会：泉区
2021/7/31,第26回宮城野オープンラージボール卓球大会,若林体育館,主催協会：宮城野区
2021/7/31,第22回青葉区総合スポーツ祭卓球大会,青葉体育館,主催協会：青葉区
2021/8/1,第16回泉中学生学年別卓球大会,泉体育館,主催協会：泉区
2021/8/16,第14回太白区ジュニア卓球大会,カメイアリーナ仙台,主催協会：太白区
2021/9/5,第5回泉区卓球協会長杯争奪卓球大会,泉体育館,主催協会：泉区
2021/9/11,第14回杜の都レディース卓球大会,若林体育館,主催協会：仙台市
2021/9/11,第30回仙台市卓球協会長杯争奪卓球大会（中学生の部）,宮城野体育館,主催協会：仙台市
2021/9/12,第30回仙台市卓球協会長杯争奪卓球大会（一般の部）,宮城野体育館,主催協会：仙台市
2021/9/18,第20回青葉区中学生卓球大会,青葉体育館,主催協会：青葉区
2021/9/19,第23回太白区個人ダブルス卓球選手権大会,秋保体育館,主催協会：太白区
2021/9/23,令和3年度仙台市秋季卓球リーグ戦（女子の部）,泉体育館,主催協会：仙台市
2021/10/17,仙台市民総合体育大会 兼 第20回仙台市区対抗卓球大会,宮城野体育館2,主催協会：仙台市
2021/10/30,第9回太白区チャレンジカップ卓球大会,カメイアリーナ仙台2,主催協会：太白区
2021/11/20,令和3年度仙台市秋季卓球リーグ戦（男子の部）,宮城野体育館,主催協会：仙台市
2021/11/21,第32回泉スリーダブルス卓球大会,泉体育館,主催協会：泉区
2021/11/23,第8回太白オープン卓球大会,若林体育館,主催協会：太白区
2021/11/27,第13回若卓ジュニア卓球大会,若林体育館,主催協会：若林区
2021/11/28,第19回青葉区親善卓球大会,広瀬体育館,主催協会：青葉区
2022/12/2,第18回泉レディース冬季卓球大会,泉体育館,主催協会：泉区
2022/12/19,第18回宮城野団体卓球大会,宮城野体育館,主催協会：宮城野区
2022/1/15,第28回仙台市ラージボール卓球大会,宮城野体育館,主催協会：仙台市
2022/1/16,第8回泉年代別卓球大会,泉体育館,主催協会：泉区
2022/1/23,第26回太白区学区対抗卓球大会,カメイアリーナ仙台2,主催協会：太白区
2022/1/30,第26回宮城野オープン個人卓球大会,若林体育館,主催協会：宮城野区
2022/2/6,第12回泉フレンドシップ卓球大会,泉体育館,主催協会：泉区
2022/2/13,第85回仙台市個人卓球選手権大会,若林体育館,主催協会：仙台市
2022/2/20,第8回宮城野区卓球協会長杯卓球大会,若林体育館,主催協会：宮城野区
2022/3/13,第29回泉区卓球協会長杯争奪卓球大会,泉体育館,主催協会：泉区
2022/3/13,第17回若林区・太白区親善卓球大会,若林体育館,主催協会：若・太区
2022/3/21,第50回仙台市中学生新人卓球大会（個人戦）,カメイアリーナ仙台,主催協会：仙台市
2022/3/26,第7回青葉区卓球協会会長杯争奪卓球大会,青葉体育館,主催協会：青葉区
2022/3/26,第20回若卓ラージボール卓球大会,出花体育館,主催協会：若林区
2022/3/27,第28回バタフライダブルスチームカップ卓球大会,若林体育館,主催協会：仙台市
